# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3]
1000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 9.3915e-05 2e-05
37 0.9125 0.00950603 0.00216
38 0.9375 0.0789429 0.02092
39 0.9625 0.291668 0.09398
40 0.9875 0.681417 0.27366
41 1.0125 1.12233 0.58476
42 1.0375 1.46996 1.0126
43 1.0625 1.74184 1.5443
44 1.0875 1.82114 2.12666
45 1.1125 1.78296 2.72334
46 1.1375 1.70036 3.31824
47 1.1625 1.59246 3.90014
48 1.1875 1.43177 4.44606
49 1.2125 1.29987 4.96278
50 1.2375 1.2004 5.45984
51 1.2625 1.10401 5.93564
52 1.2875 1.03706 6.40046
53 1.3125 0.980823 6.85732
54 1.3375 0.911147 7.29804
55 1.3625 0.852228 7.72582
56 1.3875 0.808019 8.14642
57 1.4125 0.768524 8.56102
58 1.4375 0.749041 8.97954
59 1.4625 0.730844 9.40222
60 1.4875 0.720448 9.83326
61 1.5125 0.74748 10.2956
62 1.5375 0.755211 10.7783
63 1.5625 0.753445 11.2757
64 1.5875 0.763801 11.7961
65 1.6125 0.787568 12.3498
66 1.6375 0.809212 12.9365
67 1.6625 0.829848 13.5567
68 1.6875 0.847098 14.2089
69 1.7125 0.881292 14.9078
70 1.7375 0.923706 15.6617
71 1.7625 0.941099 16.4522
72 1.7875 0.982012 17.3006
73 1.8125 1.00634 18.1945
74 1.8375 1.05194 19.1548
75 1.8625 1.0718 20.1601
76 1.8875 1.11394 21.2331
77 1.9125 1.13801 22.3586
78 1.9375 1.13722 23.5129
79 1.9625 1.15985 24.7207
80 1.9875 1.17324 25.9738
81 2.0125 1.14661 27.2295
82 2.0375 1.14124 28.5105
83 2.0625 1.13336 29.8141
84 2.0875 1.12154 31.1355
85 2.1125 1.09449 32.4562
86 2.1375 1.07545 33.7847
87 2.1625 1.04804 35.1099
88 2.1875 1.02422 36.435
89 2.2125 1.02751 37.795
90 2.2375 1.00316 39.1529
91 2.2625 0.986082 40.5178
92 2.2875 0.978457 41.9021
93 2.3125 0.955965 43.2844
94 2.3375 0.951434 44.69
95 2.3625 0.940984 46.1101
96 2.3875 0.929912 47.5433
97 2.4125 0.919818 48.9908
98 2.4375 0.914316 50.4596
99 2.4625 0.927016 51.9795
100 2.4875 0.931185 53.5374
2000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000467873 0.0001
37 0.9125 0.0108046 0.00254
38 0.9375 0.0745032 0.0203
39 0.9625 0.284477 0.09178
40 0.9875 0.650719 0.2639
41 1.0125 1.12432 0.57654
42 1.0375 1.53208 1.02386
43 1.0625 1.71015 1.5475
44 1.0875 1.82845 2.13404
45 1.1125 1.83732 2.75082
46 1.1375 1.74978 3.36492
47 1.1625 1.58437 3.94568
48 1.1875 1.43477 4.49446
49 1.2125 1.32789 5.02396
50 1.2375 1.21515 5.5287
51 1.2625 1.12619 6.01558
52 1.2875 1.04734 6.48648
53 1.3125 0.946352 6.92866
54 1.3375 0.878257 7.3548
55 1.3625 0.820493 7.76794
56 1.3875 0.784463 8.17756
57 1.4125 0.774059 8.59644
58 1.4375 0.732173 9.00682
59 1.4625 0.727753 9.42902
60 1.4875 0.725069 9.86418
61 1.5125 0.728317 10.3161
62 1.5375 0.739811 10.7904
63 1.5625 0.765811 11.2975
64 1.5875 0.765295 11.8206
65 1.6125 0.798324 12.3837
66 1.6375 0.808312 12.9715
67 1.6625 0.828823 13.5929
68 1.6875 0.858346 14.2559
69 1.7125 0.886903 14.9613
70 1.7375 0.922254 15.7165
71 1.7625 0.941239 16.5095
72 1.7875 0.966553 17.3471
73 1.8125 1.01067 18.2477
74 1.8375 1.04426 19.204
75 1.8625 1.07817 20.2184
76 1.8875 1.10156 21.2828
77 1.9125 1.11884 22.3928
78 1.9375 1.13191 23.5452
79 1.9625 1.1565 24.7533
80 1.9875 1.16735 26.004
81 2.0125 1.16921 27.2885
82 2.0375 1.16087 28.5956
83 2.0625 1.15995 29.9339
84 2.0875 1.14821 31.291
85 2.1125 1.10301 32.6261
86 2.1375 1.08552 33.9713
87 2.1625 1.0536 35.3077
88 2.1875 1.03294 36.6483
89 2.2125 1.01091 37.9905
90 2.2375 0.990639 39.3357
91 2.2625 0.977995 40.6935
92 2.2875 0.977792 42.0812
93 2.3125 0.960912 43.475
94 2.3375 0.949678 44.8824
95 2.3625 0.940822 46.3066
96 2.3875 0.931271 47.7464
97 2.4125 0.934704 49.2219
98 2.4375 0.934489 50.7278
99 2.4625 0.923366 52.2465
100 2.4875 0.928525 53.8048
3000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000371538 8e-05
37 0.9125 0.00640755 0.00154
38 0.9375 0.0701148 0.0184
39 0.9625 0.296421 0.09354
40 0.9875 0.667441 0.27162
41 1.0125 1.15666 0.59604
